asdasdasdsadasdas

2023-02-21
Day	Time\Court	C1	C2	C3	C4	C5	C6
Tue	06:00	0	0	0	0	0	0
Tue	06:30	0	0	0	0	0	0
Tue	07:00	0	0	0	1	0	0
Tue	07:30	0	0	0	1	0	0
Tue	08:00	0	0	0	0	0	0
Tue	08:30	0	0	0	0	0	0
Tue	09:00	0	0	1	0	0	0
Tue	09:30	0	0	1	0	0	0
Tue	10:00	1	1	0	1	0	0
Tue	10:30	1	1	0	1	0	0
Tue	11:00	1	1	1	1	0	0
Tue	11:30	1	1	1	1	0	0
Tue	12:00	1	1	1	1	1	1
Tue	12:30	1	1	1	1	1	1
Tue	13:00	1	1	1	1	1	0
Tue	13:30	1	1	1	1	1	0
Tue	14:00	1	1	1	1	1	0
Tue	14:30	1	1	1	1	1	0
Tue	15:00	1	1	1	1	1	0
Tue	15:30	1	1	1	1	1	0
Tue	16:00	1	1	1	1	1	1
Tue	16:30	1	1	1	1	1	1
Tue	17:00	1	1	1	1	1	0
Tue	17:30	1	1	1	1	1	0
Tue	18:00	1	1	1	1	1	1
Tue	18:30	1	1	1	1	1	1
Tue	19:00	1	1	1	1	0	1
Tue	19:30	1	1	1	1	0	1
Tue	20:00	1	1	1	1	0	1
Tue	20:30	1	1	1	1	0	1
Tue	21:00	1	1	1	0	1	1
Tue	21:30	1	1	1	0	1	1
Tue	22:00	1	1	1	1	1	1
Tue	22:30	1	1	1	1	1	1
Tue	23:00	1	1	1	1	1	1
Tue	23:30	1	1	1	1	1	1

2023-02-23
Day	Time\Court	C1	C2	C3	C4	C5	C6
Thu	06:00	1	0	0	0	0	0
Thu	06:30	1	0	0	0	0	0
Thu	07:00	1	0	1	0	0	0
Thu	07:30	1	0	1	0	0	0
Thu	08:00	0	0	0	0	0	0
Thu	08:30	0	0	0	0	0	0
Thu	09:00	0	0	0	0	0	0
Thu	09:30	0	0	0	0	0	0
Thu	10:00	1	0	0	1	0	0
Thu	10:30	1	0	0	1	0	0
Thu	11:00	1	0	0	0	0	0
Thu	11:30	1	0	0	0	0	0
Thu	12:00	1	1	1	1	1	1
Thu	12:30	1	1	1	1	1	1
Thu	13:00	1	1	1	1	1	1
Thu	13:30	1	1	1	1	1	1
Thu	14:00	1	1	1	1	1	1
Thu	14:30	1	1	1	1	1	1
Thu	15:00	0	1	0	1	0	1
Thu	15:30	0	1	0	1	0	1
Thu	16:00	1	1	1	1	1	1
Thu	16:30	1	1	1	1	1	1
Thu	17:00	1	1	1	1	1	1
Thu	17:30	1	1	1	1	1	1
Thu	18:00	1	1	1	1	1	1
Thu	18:30	1	1	1	1	1	1
Thu	19:00	1	1	1	1	1	1
Thu	19:30	1	1	1	1	1	1
Thu	20:00	1	1	1	1	1	1
Thu	20:30	1	1	1	1	1	1
Thu	21:00	1	1	1	1	1	1
Thu	21:30	1	1	1	1	1	1
Thu	22:00	1	1	1	1	1	1
Thu	22:30	1	1	1	1	1	1
Thu	23:00	1	1	1	1	1	1
Thu	23:30	1	1	1	1	1	1

2023-02-23
Day	Time\Court	C1	C2	C3	C4	C5	C6
Thu	06:00	1	0	0	0	0	0
Thu	06:30	1	0	0	0	0	0
Thu	07:00	1	0	1	0	0	0
Thu	07:30	1	0	1	0	0	0
Thu	08:00	0	0	0	0	0	0
Thu	08:30	0	0	0	0	0	0
Thu	09:00	0	0	0	0	0	0
Thu	09:30	0	0	0	0	0	0
Thu	10:00	1	0	0	1	1	0
Thu	10:30	1	0	0	1	1	0
Thu	11:00	1	0	0	0	0	0
Thu	11:30	1	0	0	0	0	0
Thu	12:00	1	1	1	1	1	1
Thu	12:30	1	1	1	1	1	1
Thu	13:00	1	1	1	1	1	1
Thu	13:30	1	1	1	1	1	1
Thu	14:00	1	1	1	1	1	1
Thu	14:30	1	1	1	1	1	1
Thu	15:00	0	1	0	1	0	1
Thu	15:30	0	1	0	1	0	1
Thu	16:00	1	1	1	1	1	1
Thu	16:30	1	1	1	1	1	1
Thu	17:00	1	1	1	1	1	1
Thu	17:30	1	1	1	1	1	1
Thu	18:00	1	1	1	1	1	1
Thu	18:30	1	1	1	1	1	1
Thu	19:00	1	1	1	1	1	1
Thu	19:30	1	1	1	1	1	1
Thu	20:00	1	1	1	1	0	1
Thu	20:30	1	1	1	1	0	1
Thu	21:00	1	1	1	0	1	1
Thu	21:30	1	1	1	0	1	1
Thu	22:00	1	1	1	1	1	1
Thu	22:30	1	1	1	1	1	1
Thu	23:00	1	1	1	1	1	1
Thu	23:30	1	1	1	1	1	1
